,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
1,2,Cédric Alves Soares,39,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
2,3,Mohamed Elneny,44,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
4,5,Gabriel dos Santos Magalhães,48,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
5,6,Kai Havertz,71,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
6,8,Gabriel Fernando de Jesus,78,FWD,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
7,9,Jorge Luiz Frello Filho,53,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
8,10,Jakub Kiwior,43,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
10,12,Gabriel Martinelli Silva,78,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
11,13,Eddie Nketiah,57,FWD,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
12,14,Martin Ødegaard,83,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
13,15,Thomas Partey,48,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
14,16,Nicolas Pépé,49,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
15,17,Aaron Ramsdale,47,GKP,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
17,19,Bukayo Saka,87,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
18,20,William Saliba,54,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
19,22,Emile Smith Rowe,53,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
20,24,Kieran Tierney,44,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
22,26,Leandro Trossard,65,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
23,29,Benjamin White,57,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
24,30,Granit Xhaka,60,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
25,31,Oleksandr Zinchenko,50,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
26,113,David Raya Martin,49,GKP,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
27,540,Declan Rice,54,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
28,578,Reiss Nelson,49,MID,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
29,585,Jurriën Timber,46,DEF,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
30,646,Karl Hein,40,GKP,Brentford,Arsenal,2023-11-25T17:30:00Z,False,Arsenal
31,735,Charles Sagoe,45,MID,West Ham,Arsenal,2024-02-11T14:00:00Z,False,Arsenal
32,736,Reuell Walters,40,DEF,West Ham,Arsenal,2024-02-11T14:00:00Z,False,Arsenal
33,737,Bradley Ibrahim,45,MID,West Ham,Arsenal,2024-02-11T14:00:00Z,False,Arsenal
