,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
1,2,Cédric Alves Soares,38,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
2,3,Mohamed Elneny,44,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
4,5,Gabriel dos Santos Magalhães,53,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
5,6,Kai Havertz,71,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
6,8,Gabriel Fernando de Jesus,78,FWD,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
7,9,Jorge Luiz Frello Filho,53,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
8,10,Jakub Kiwior,43,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
10,12,Gabriel Martinelli Silva,77,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
11,13,Eddie Nketiah,51,FWD,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
12,14,Martin Ødegaard,85,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
13,15,Thomas Partey,48,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
14,16,Nicolas Pépé,49,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
15,17,Aaron Ramsdale,45,GKP,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
17,19,Bukayo Saka,92,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
18,20,William Saliba,58,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
19,22,Emile Smith Rowe,53,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
20,24,Kieran Tierney,44,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
22,26,Leandro Trossard,65,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
23,29,Benjamin White,56,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
24,30,Granit Xhaka,60,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
25,31,Oleksandr Zinchenko,50,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
26,113,David Raya Martin,50,GKP,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
27,540,Declan Rice,54,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
28,578,Reiss Nelson,48,MID,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
29,585,Jurriën Timber,46,DEF,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
30,646,Karl Hein,40,GKP,Arsenal,Brentford,2024-03-09T17:30:00Z,True,Arsenal
31,32,Alexandre Moreno Lopera,52,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
32,34,Leon Bailey,57,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
33,35,Emiliano Buendía Stati,57,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
34,36,Matty Cash,46,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
35,37,Calum Chambers,38,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
36,38,Philippe Coutinho Correia,58,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
37,39,Keinan Davis,49,FWD,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
38,40,Leander Dendoncker,49,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
39,41,Diego Carlos Santos Silva,44,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
40,42,Lucas Digne,46,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
41,43,Douglas Luiz Soares de Paulo,57,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
42,44,Jhon Durán,50,FWD,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
43,45,Kortney Hause,39,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
44,46,Tim Iroegbunam,44,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
45,47,Boubacar Kamara,50,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
46,48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
47,49,Emiliano Martínez Romero,53,GKP,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
48,50,John McGinn,54,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
49,51,Tyrone Mings,41,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
50,53,Robin Olsen,39,GKP,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
51,54,Jaden Philogene-Bidace,45,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
52,55,Jacob Ramsey,59,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
53,56,Morgan Sanson,45,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
54,57,Viljami Sinisalo,40,GKP,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
55,58,Youri Tielemans,56,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
56,59,Bertrand Traoré,50,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
57,60,Ollie Watkins,90,FWD,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
58,61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
59,584,Pau Torres,46,DEF,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
60,599,Moussa Diaby,63,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
61,618,Omari Kellyman,45,MID,Aston Villa,Spurs,2024-03-10T13:00:00Z,True,Aston Villa
62,670,Filip Marschall,40,GKP,West Ham,Aston Villa,2024-03-17T14:00:00Z,False,Aston Villa
63,672,Nicolò Zaniolo,54,MID,Aston Villa,Wolves,2024-03-30T17:30:00Z,True,Aston Villa
64,686,Oliwier Zych,40,GKP,Aston Villa,Wolves,2024-03-30T17:30:00Z,True,Aston Villa
