,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,45,FWD,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
1,2,Cédric Alves Soares,40,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
2,3,Mohamed Elneny,45,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
3,4,Fábio Ferreira Vieira,55,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
4,5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
5,6,Kai Havertz,75,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
6,8,Gabriel Fernando de Jesus,80,FWD,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
7,9,Jorge Luiz Frello Filho,55,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
8,10,Jakub Kiwior,45,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
10,12,Gabriel Martinelli Silva,80,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
11,13,Eddie Nketiah,55,FWD,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
12,14,Martin Ødegaard,85,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
13,15,Thomas Partey,50,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
14,16,Nicolas Pépé,50,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
15,17,Aaron Ramsdale,50,GKP,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
17,19,Bukayo Saka,85,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
18,20,William Saliba,50,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
19,22,Emile Smith Rowe,55,MID,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
20,24,Kieran Tierney,45,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Arsenal,Nott'm Forest,2023-08-12T12:00:00Z,True,Arsenal
