,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
1,2,Cédric Alves Soares,39,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
2,3,Mohamed Elneny,44,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
4,5,Gabriel dos Santos Magalhães,47,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
5,6,Kai Havertz,71,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
6,8,Gabriel Fernando de Jesus,79,FWD,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
7,9,Jorge Luiz Frello Filho,53,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
8,10,Jakub Kiwior,43,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
10,12,Gabriel Martinelli Silva,77,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
11,13,Eddie Nketiah,55,FWD,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
12,14,Martin Ødegaard,85,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
13,15,Thomas Partey,48,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
14,16,Nicolas Pépé,49,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
15,17,Aaron Ramsdale,48,GKP,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
17,19,Bukayo Saka,86,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
18,20,William Saliba,52,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
19,22,Emile Smith Rowe,53,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
20,24,Kieran Tierney,44,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
22,26,Leandro Trossard,65,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
23,29,Benjamin White,56,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
24,30,Granit Xhaka,60,MID,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
25,31,Oleksandr Zinchenko,49,DEF,Arsenal,Sheffield Utd,2023-10-28T14:00:00Z,True,Arsenal
