,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
1,2,Cédric Alves Soares,39,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
2,3,Mohamed Elneny,44,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
4,5,Gabriel dos Santos Magalhães,47,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
5,6,Kai Havertz,71,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
6,8,Gabriel Fernando de Jesus,80,FWD,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
7,9,Jorge Luiz Frello Filho,54,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
8,10,Jakub Kiwior,44,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
10,12,Gabriel Martinelli Silva,77,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
11,13,Eddie Nketiah,55,FWD,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
12,14,Martin Ødegaard,85,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
13,15,Thomas Partey,48,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
14,16,Nicolas Pépé,49,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
15,17,Aaron Ramsdale,49,GKP,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
17,19,Bukayo Saka,87,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
18,20,William Saliba,52,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
19,22,Emile Smith Rowe,53,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
20,24,Kieran Tierney,44,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
22,26,Leandro Trossard,66,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
23,29,Benjamin White,55,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
24,30,Granit Xhaka,60,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
25,31,Oleksandr Zinchenko,49,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
26,113,David Raya Martin,48,GKP,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
27,540,Declan Rice,54,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
28,578,Reiss Nelson,49,MID,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
29,585,Jurriën Timber,47,DEF,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
30,646,Karl Hein,40,GKP,Bournemouth,Arsenal,2023-09-30T14:00:00Z,False,Arsenal
31,735,Charles Sagoe,45,MID,Liverpool,Arsenal,2023-12-23T17:30:00Z,False,Arsenal
32,736,Reuell Walters,40,DEF,Liverpool,Arsenal,2023-12-23T17:30:00Z,False,Arsenal
33,737,Bradley Ibrahim,45,MID,Liverpool,Arsenal,2023-12-23T17:30:00Z,False,Arsenal
34,764,Myles Lewis-Skelly,45,MID,Arsenal,Liverpool,2024-02-04T16:30:00Z,True,Arsenal
35,772,Ethan Nwaneri,45,MID,Burnley,Arsenal,2024-02-17T15:00:00Z,False,Arsenal
36,815,Mauro Bandeira,45,MID,Arsenal,Luton,2024-04-03T18:30:00Z,True,Arsenal
